臺灣頻道,#genre#
AMC最愛電影,http://173.82.57.77:8890/fhtv.php?id=92
世新綜合5,http://173.82.57.77:8890/fhtv.php?id=95
高點綜合,http://173.82.57.77:8890/fhtv.php?id=99
人間衛視,http://173.82.57.77:8890/fhtv.php?id=101
好消息TV,http://173.82.57.77:8890/fhtv.php?id=104
國興衛視,http://173.82.57.77:8890/fhtv.php?id=105
博斯魅力,http://173.82.57.77:8890/fhtv.php?id=175
大愛,http://173.82.57.77:8890/fhtv.php?id=184
金光布袋戲,http://173.82.57.77:8890/fhtv.php?id=1060
第1商業,http://173.82.57.77:8890/fhtv.php?id=186
EYE戲劇,http://173.82.57.77:8890/fhtv.php?id=191
Nick兒童,http://173.82.57.77:8890/fhtv.php?id=50
Boomerang,http://173.82.57.77:8890/fhtv.php?id=57
AFN,http://173.82.57.77:8890/fhtv.php?id=195
中文字Smithsonian,http://173.82.57.77:8890/fhtv.php?id=291
中文字FoodNetwork,http://173.82.57.77:8890/fhtv.php?id=294
Eleven 體育2,http://173.82.57.77:8890/fhtv.php?id=301
國家地理,http://173.82.57.77:8890/fhtv.php?id=302
非凡商業,http://173.82.57.77:8890/fhtv.php?id=187
年代新聞,http://173.82.57.77:8890/fhtv.php?id=236
探索亞洲,http://173.82.57.77:8890/fhtv.php?id=306
探索頻道,http://173.82.57.77:8890/fhtv.php?id=1035
國家野生,http://173.82.57.77:8890/fhtv.php?id=1038
AFN,http://173.82.57.77:8890/fhtv.php?id=307
空中英語教,http://173.82.57.77:8890/fhtv.php?id=313
非凡新聞,http://173.82.57.77:8890/fhtv.php?id=314
立綜合台,http://173.82.57.77:8890/fhtv.php?id=315
曼迪日本台,http://173.82.57.77:8890/fhtv.php?id=316
中華財經台,http://173.82.57.77:8890/fhtv.php?id=317
生活英語台,http://173.82.57.77:8890/fhtv.php?id=323
探索科學,http://173.82.57.77:8890/fhtv.php?id=343
ELTA娛樂,http://173.82.57.77:8890/fhtv.php?id=351
CATCHPLAY電影台,http://173.82.57.77:8890/fhtv.php?id=362
好消息2,http://173.82.57.77:8890/fhtv.php?id=363
衛視西片,http://173.82.57.77:8890/fhtv.php?id=369
Love Nature,http://173.82.57.77:8890/fhtv.php?id=388
TV5MONDE STYLE,http://173.82.57.77:8890/fhtv.php?id=389
ELTA影劇,http://173.82.57.77:8890/fhtv.php?id=500
CLASSICA 古典樂,http://173.82.57.77:8890/fhtv.php?id=1027
ELTA綜合,http://173.82.57.77:8890/fhtv.php?id=1137
MOMO親子台,http://173.82.57.77:8890/fhtv.php?id=1149
CN卡通頻道,http://173.82.57.77:8890/fhtv.php?id=107
愛放,http://173.82.57.77:8890/fhtv.php?id=1127
愛放2,http://173.82.57.77:8890/fhtv.php?id=299
愛放3,http://173.82.57.77:8890/fhtv.php?id=259
唯心電視,http://173.82.57.77:8890/fhtv.php?id=1150
光影歐洲,http://173.82.57.77:8890/fhtv.php?id=1157
History 2,http://173.82.57.77:8890/fhtv.php?id=1158
CI罪案偵查,http://173.82.57.77:8890/fhtv.php?id=1159
AXN亞洲,http://173.82.57.77:8890/fhtv.php?id=1066
MOMO親子,http://173.82.57.77:8890/fhtv.php?id=1126
Z頻道,http://173.82.57.77:8890/fhtv.php?id=1130
Cartoon,http://173.82.57.77:8890/fhtv.php?id=48
FOX 體育1,http://173.82.57.77:8890/fhtv.php?id=1131
FOX 體育2,http://173.82.57.77:8890/fhtv.php?id=1132
FOX,http://173.82.57.77:8890/fhtv.php?id=384
FOX ACTION,http://173.82.57.77:8890/fhtv.php?id=385
FOX CRIME,http://173.82.57.77:8890/fhtv.php?id=386
Eleven 體育1,http://173.82.57.77:8890/fhtv.php?id=1133
TRACE體育Stars,http://173.82.57.77:8890/fhtv.php?id=1037
動物星球1,http://173.82.57.77:8890/fhtv.php?id=367
動物星球2,http://173.82.57.77:8890/fhtv.php?id=368
博斯高球1,http://173.82.57.77:8890/fhtv.php?id=377
博斯無限,http://173.82.57.77:8890/fhtv.php?id=381
博斯無限2,http://173.82.57.77:8890/fhtv.php?id=426
博斯高球2,http://173.82.57.77:8890/fhtv.php?id=378
博斯運動1,http://173.82.57.77:8890/fhtv.php?id=379
博斯運動2,http://173.82.57.77:8890/fhtv.php?id=380
博斯網球,http://173.82.57.77:8890/fhtv.php?id=498
ELTA體育1台,http://173.82.57.77:8890/fhtv.php?id=192
ELTA體育2台,http://173.82.57.77:8890/fhtv.php?id=193
ELTA體育3台,http://173.82.57.77:8890/fhtv.php?id=194
港澳頻道,#genre#
18台,http://173.82.57.77:8890/fhtv.php?id=44
翡翠台1,http://173.82.57.77:8890/fhtv.php?id=390
翡翠台2,http://173.82.57.77:8890/fhtv.php?id=1084
明珠台,http://173.82.57.77:8890/fhtv.php?id=391
J2,http://173.82.57.77:8890/fhtv.php?id=392
香港開電視,http://173.82.57.77:8890/fhtv.php?id=17
澳門衛星,http://173.82.57.77:8890/fhtv.php?id=29
美國唐人街台,http://173.82.57.77:8890/fhtv.php?id=43
RTHK31,http://173.82.57.77:8890/fhtv.php?id=353
RTHK32,http://173.82.57.77:8890/fhtv.php?id=397
有線娛樂,http://173.82.57.77:8890/fhtv.php?id=360
有線體育2,http://173.82.57.77:8890/fhtv.php?id=356
無線財經,http://173.82.57.77:8890/fhtv.php?id=393
無線新聞,http://173.82.57.77:8890/fhtv.php?id=394
有線新聞,http://173.82.57.77:8890/fhtv.php?id=395
無線新聞,http://173.82.57.77:8890/fhtv.php?id=45
澳門蓮花,http://173.82.57.77:8890/fhtv.php?id=70
ViUtv,http://173.82.57.77:8890/fhtv.php?id=72
星衛娛樂台,http://173.82.57.77:8890/fhtv.php?id=89
衛視電影,http://173.82.57.77:8890/fhtv.php?id=93
星衛電影,http://173.82.57.77:8890/fhtv.php?id=496
影迷數位電影,http://173.82.57.77:8890/fhtv.php?id=497
有線電影,http://173.82.57.77:8890/fhtv.php?id=354
澳視葡語,http://173.82.57.77:8890/fhtv.php?id=24
鳳凰資訊,http://173.82.57.77:8890/fhtv.php?id=1080
鳳凰電影,http://173.82.57.77:8890/fhtv.php?id=18
鳳凰電影,http://173.82.57.77:8890/fhtv.php?id=19
鳳凰資訊,http://173.82.57.77:8890/fhtv.php?id=21
鳳凰中文,http://173.82.57.77:8890/fhtv.php?id=357
鳳凰香港,http://173.82.57.77:8890/fhtv.php?id=358
鳳凰資訊,http://173.82.57.77:8890/fhtv.php?id=359
香港衛視,http://173.82.57.77:8890/fhtv.php?id=399
美亞電影,http://173.82.57.77:8890/fhtv.php?id=375
NOW新聞,http://173.82.57.77:8890/fhtv.php?id=396
NOW直播,http://173.82.57.77:8890/fhtv.php?id=400
有線體育1,http://173.82.57.77:8890/fhtv.php?id=401
翡翠台,http://173.82.57.77:8890/fhtv.php?id=429
新時代溫哥華,http://173.82.57.77:8890/fhtv.php?id=1032
新時代多倫多2,http://173.82.57.77:8890/fhtv.php?id=1033
TVB星河,http://173.82.57.77:8890/fhtv.php?id=1079
衛視卡式台,http://173.82.57.77:8890/fhtv.php?id=1085
新馬頻道,#genre#
新馬-雙星,http://173.82.57.77:8890/fhtv.php?id=1086
新馬CERIA,http://173.82.57.77:8890/fhtv.php?id=1161
新馬AOD351,http://173.82.57.77:8890/fhtv.php?id=1162
新馬AOD352,http://173.82.57.77:8890/fhtv.php?id=1163
新馬AOD353,http://173.82.57.77:8890/fhtv.php?id=1164
新馬AOD354,http://173.82.57.77:8890/fhtv.php?id=1165
新馬AOD355,http://173.82.57.77:8890/fhtv.php?id=1166
新馬WWE,http://173.82.57.77:8890/fhtv.php?id=1167
新馬EGG,http://173.82.57.77:8890/fhtv.php?id=1168
新馬OKTO,http://173.82.57.77:8890/fhtv.php?id=1169
新馬TVN,http://173.82.57.77:8890/fhtv.php?id=1170
新馬BNC,http://173.82.57.77:8890/fhtv.php?id=1171
新馬Arena,http://173.82.57.77:8890/fhtv.php?id=1172
新馬CRICKET,http://173.82.57.77:8890/fhtv.php?id=1173
新馬IKIM TV,http://173.82.57.77:8890/fhtv.php?id=1147
新馬AOD353,http://173.82.57.77:8890/fhtv.php?id=1067
新馬AOD354,http://173.82.57.77:8890/fhtv.php?id=1068
新馬AOD355,http://173.82.57.77:8890/fhtv.php?id=1069
新馬ASSP1_,http://173.82.57.77:8890/fhtv.php?id=1070
新馬ASSP2_,http://173.82.57.77:8890/fhtv.php?id=1071
新馬ASSP3_,http://173.82.57.77:8890/fhtv.php?id=1072
新馬AEC,http://173.82.57.77:8890/fhtv.php?id=1073
新馬ASSP4,http://173.82.57.77:8890/fhtv.php?id=1074
新馬OKEY,http://173.82.57.77:8890/fhtv.php?id=1075
新馬Suria,http://173.82.57.77:8890/fhtv.php?id=1076
新馬Channel U,http://173.82.57.77:8890/fhtv.php?id=1077
新馬Vasantham,http://173.82.57.77:8890/fhtv.php?id=1078
新馬AXN,http://173.82.57.77:8890/fhtv.php?id=1044
新馬BNC,http://173.82.57.77:8890/fhtv.php?id=1045
新馬ARENA,http://173.82.57.77:8890/fhtv.php?id=1049
新馬AOD351,http://173.82.57.77:8890/fhtv.php?id=1050
新馬-全佳,http://173.82.57.77:8890/fhtv.php?id=427
新馬-AOD,http://173.82.57.77:8890/fhtv.php?id=428
新馬-雙星,http://173.82.57.77:8890/fhtv.php?id=431
新馬-歡喜台,http://173.82.57.77:8890/fhtv.php?id=432
新馬Astro AEC,http://173.82.57.77:8890/fhtv.php?id=433
新馬Astro suria,http://173.82.57.77:8890/fhtv.php?id=434
新馬TV1,http://173.82.57.77:8890/fhtv.php?id=435
新馬TV2,http://173.82.57.77:8890/fhtv.php?id=436
新馬TV3,http://173.82.57.77:8890/fhtv.php?id=437
新馬TV9,http://173.82.57.77:8890/fhtv.php?id=438
新馬NTV7 Awani,http://173.82.57.77:8890/fhtv.php?id=439
新馬Astro Awani,http://173.82.57.77:8890/fhtv.php?id=440
新馬-天映,http://173.82.57.77:8890/fhtv.php?id=441
新馬TV8,http://173.82.57.77:8890/fhtv.php?id=442
新馬AOD352,http://173.82.57.77:8890/fhtv.php?id=450
新馬Channel5,http://173.82.57.77:8890/fhtv.php?id=141
新馬Channel8,http://173.82.57.77:8890/fhtv.php?id=142
新馬AWANI,http://173.82.57.77:8890/fhtv.php?id=1151
英美加印,#genre#
Disney j,http://173.82.57.77:8890/fhtv.php?id=47
Disneyxd,http://173.82.57.77:8890/fhtv.php?id=31
Nickj,http://173.82.57.77:8890/fhtv.php?id=53
Nickelodeon europe,http://173.82.57.77:8890/fhtv.php?id=56
BabyFirst,http://173.82.57.77:8890/fhtv.php?id=173
BBC CBeebies,http://173.82.57.77:8890/fhtv.php?id=115
Babylu,http://173.82.57.77:8890/fhtv.php?id=1129
國外5,http://173.82.57.77:8890/fhtv.php?id=5
皇馬足球,http://173.82.57.77:8890/fhtv.php?id=20
VOA衛視,http://173.82.57.77:8890/fhtv.php?id=22
